elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m,wall_utc_s,yaw_rate_rps,vel_north_mps,vel_east_mps,vel_down_mps,vel_age_s,waypoint_index,cross_track_error_m,distance_to_waypoint_m,distance_remaining_m,cumulative_distance_m,waypoints_remaining,exec_age_s
2.628168846,39.00002986,-76.5,-1.15066497e-12,2.550165228,0,60,1785408821.6660476,-8.158292701e-13,2.550165228,-2.934385796e-12,0,8.1375e-05,0,1.00754879e-10,96.81286082,955.9999986,3.18713917,8,7.5458e-05
2.678905206,39.00003103,-76.5,-1.170599048e-12,2.600089253,0,60,1785408821.7168109,-3.992882692e-13,2.600089253,-3.043662003e-12,0,8.5145e-05,0,-4.219258055e-11,96.68457003,955.9999986,3.315429952,8,7.5771e-05
2.729585315,39.00003223,-76.5,-1.195140501e-12,2.650019285,0,60,1785408821.767431,-4.915168792e-13,2.650019285,-3.167145376e-12,0,4.7567e-05,0,5.875526167e-11,96.55476311,955.9999986,3.445236871,8,4.1076e-05
2.780183605,39.00003344,-76.5,-1.179357727e-12,2.700141933,0,60,1785408821.8180339,3.148830823e-13,2.700141933,-3.184433253e-12,0,6.5167e-05,0,-1.303639332e-10,96.42244757,955.9999986,3.577552418,8,5.7819e-05
2.830842346,39.00003468,-76.5,-1.168462117e-12,2.750026395,0,60,1785408821.8687027,2.184169222e-13,2.750026395,-3.213301662e-12,0,6.7122e-05,0,4.598073838e-11,96.2871093,955.9999986,3.712890683,8,5.5954e-05
2.881443963,39.00003594,-76.5,-1.125684981e-12,2.800027056,0,60,1785408821.9192777,8.555314028e-13,2.800027056,-3.151948403e-12,0,4.2205e-05,0,-1.088663656e-10,96.14992572,955.9999986,3.850074271,8,3.6016e-05
2.931747806,39.00003722,-76.5,-1.097090384e-12,2.849967967,0,60,1785408821.9696136,5.725685972e-13,2.849967967,-3.12667245e-12,0,5.3242e-05,0,7.436411652e-11,96.00992251,955.9999986,3.990077474,8,4.2124e-05
2.982093774,39.00003853,-76.5,-1.075595697e-12,2.899892941,0,60,1785408822.0199337,4.305397615e-13,2.899892941,-3.119112369e-12,0,4.5841e-05,0,4.926512643e-11,95.86759251,955.9999986,4.132407471,8,3.9188e-05
3.032448534,39.00003986,-76.5,-1.079118591e-12,2.94986992,0,60,1785408822.0702746,-7.04903361e-14,2.94986992,-3.183259472e-12,0,4.2242e-05,0,1.282290778e-10,95.72281544,955.9999986,4.277184549,8,3.6899e-05
3.082700311,39.00004121,-76.5,-1.081175145e-12,3,0,60,1785408822.1205597,-4.091627922e-14,3,-3.243525435e-12,0,7.1428e-05,0,2.48045805e-11,95.57538985,955.9999986,4.424610136,8,6.6327e-05
3.133096397,39.00004256,-76.5,-1.07132941e-12,3,0,60,1785408822.1710205,1.976516396e-13,3,-3.213988229e-12,0,8.2226e-05,0,-2.051828892e-11,95.4246024,955.9999986,4.575397586,8,6.8817e-05
3.183853408,39.00004391,-76.5,-1.037487083e-12,3,0,60,1785408822.2217629,6.759367681e-13,3,-3.112461248e-12,0,8.6772e-05,0,-7.615475953e-11,95.27516166,955.9999986,4.724838321,8,7.5602e-05
