lat_deg,lon_deg,s_m,kappa_1pm,az_rad,leg_index
39.00250415,-76.5,278,0,1.80966353e-13,1
39.00252217,-76.5,280,0,1.80966353e-13,1
39.00254019,-76.5,282,0,1.80966353e-13,1
39.0025582,-76.5,284,0,1.80966353e-13,1
39.00257622,-76.5,286,0,4.440892099e-16,1
39.00259423,-76.5,288,0,4.440892099e-16,1
39.00261225,-76.5,290,0,4.440892099e-16,1
39.00263026,-76.5,292,0,4.440892099e-16,1
39.00264828,-76.5,294,0,4.440892099e-16,1
39.00266629,-76.5,296,0,4.440892099e-16,1
39.00268431,-76.5,298,0,4.440892099e-16,1
39.00270233,-76.5,299.9999997,0,4.440892099e-16,1
39.00270233,-76.5,299.9999997,0.06981333333,0,2
39.00272028,-76.50000161,301.9999997,0.06981333333,-0.1396266667,2
39.00273789,-76.50000641,303.9999997,0.06981333333,-0.2792533333,2
39.0027548,-76.5000143,305.9999997,0.06981333333,-0.41888,2
39.0027707,-76.50002513,307.9999997,0.06981333333,-0.5585066667,2
39.00278526,-76.50003869,309.9999997,0.06981333333,-0.6981333333,2
39.00279862,-76.50005417,311.9999997,-0.06981333333,-0.7030833449,2
39.00281313,-76.50006783,313.9999997,-0.06981333333,-0.5634566783,2
39.00282898,-76.50007876,315.9999997,-0.06981333333,-0.4238300116,2
39.00284586,-76.50008676,317.9999997,-0.06981333333,-0.2842033449,2
39.00286345,-76.50009166,319.9999997,-0.06981333333,-0.1445766783,2
39.0028814,-76.50009339,321.9999997,-0.06981333333,-0.00495001159,2
39.00289937,-76.50009189,323.9999997,-0.06981333333,0.1346766551,2
39.00291699,-76.50008721,325.9999997,-0.06981333333,0.2743033217,2
39.00293394,-76.50007942,327.9999997,-0.06981333333,0.4139299884,2
39.00294987,-76.50006869,329.9999997,-0.06981333333,0.5535566551,2
39.00296449,-76.50005523,331.9999997,-0.06981333333,0.6931833217,2
39.0029775,-76.50003928,333.9999997,-0.06981333333,0.8328099884,2
39.00298865,-76.50002117,335.9999997,-0.06981333333,0.9724366551,2
39.00299773,-76.50000125,337.9999997,-0.06981333333,1.112063322,2
39.00300456,-76.49997991,339.9999997,-0.06981333333,1.251689988,2
39.003009,-76.49995755,341.9999997,-0.06981333333,1.391316655,2
39.00301097,-76.49993462,343.9999997,-0.06981333333,1.530943322,2
39.00301043,-76.49991156,345.9999997,-0.06981333333,1.670569988,2
39.00300739,-76.49988882,347.9999997,-0.06981333333,1.810196655,2
39.00300191,-76.49986684,349.9999997,-0.06981333333,1.949823322,2
39.0029941,-76.49984606,351.9999997,-0.06981333333,2.089449988,2
39.00298411,-76.49982687,353.9999997,-0.06981333333,2.229076655,2
39.00297213,-76.49980965,355.9999997,-0.06981333333,2.368703322,2
39.0029584,-76.49979473,357.9999997,-0.06981333333,2.508329988,2
39.00294318,-76.49978241,359.9999997,-0.06981333333,2.647956655,2
39.00292677,-76.49977292,361.9999997,-0.06981333333,2.787583322,2
39.00290949,-76.49976646,363.9999997,-0.06981333333,2.927209988,2
39.00289168,-76.49976313,365.9999997,-0.06981333333,3.066836655,2
39.00287368,-76.49976302,367.9999997,-0.06981333333,-3.076721985,2
39.00285584,-76.49976611,369.9999997,0.06981333333,-2.950642573,2
39.00283797,-76.4997689,371.9999997,0.06981333333,-3.09026924,2
39.00281996,-76.49976911,373.9999997,0,3.141592654,2
39.00280194,-76.49976911,375.9999997,0,3.141592654,2
39.00278393,-76.49976911,377.9999997,0,3.141592654,2
39.00276591,-76.49976911,379.9999997,0,3.141592654,2
39.0027479,-76.49976911,381.9999997,0,3.141592654,2
39.00272988,-76.49976911,383.9999997,0,3.141592654,2
39.00271186,-76.49976911,385.9999997,0,3.141592654,2
39.00270232,-76.49976911,387.0590631,0,3.141592654,2
39.00270232,-76.49976911,387.0590631,0.06981333333,3.141592654,3
39.00268431,-76.49976911,389.0590631,0,3.141592653,3
39.00266629,-76.49976911,391.0590631,0,3.141592653,3
39.00264828,-76.49976911,393.0590631,0,3.141592653,3
39.00263026,-76.49976911,395.0590631,0,3.141592653,3
39.00261225,-76.49976912,397.0590631,0,3.141592653,3
39.00259423,-76.49976912,399.0590631,0,3.141592653,3
39.00257622,-76.49976912,401.0590631,0,3.141592653,3
39.0025582,-76.49976912,403.0590631,0,3.141592653,3
39.00254019,-76.49976912,405.0590631,0,3.141592653,3
39.00252217,-76.49976912,407.0590631,0,3.141592653,3
39.00250415,-76.49976912,409.0590631,0,3.141592653,3
39.00248614,-76.49976912,411.0590631,0,3.141592653,3
39.00246812,-76.49976912,413.0590631,0,3.141592653,3
39.00245011,-76.49976912,415.0590631,0,3.141592653,3
39.00243209,-76.49976912,417.0590631,0,3.141592653,3
39.00241408,-76.49976912,419.0590631,0,3.141592653,3
39.00239606,-76.49976912,421.0590631,0,3.141592653,3
39.00237805,-76.49976912,423.0590631,0,3.141592653,3
39.00236003,-76.49976912,425.0590631,0,3.141592653,3
39.00234201,-76.49976912,427.0590631,0,3.141592653,3
39.002324,-76.49976912,429.0590631,0,3.141592653,3
39.00230598,-76.49976912,431.0590631,0,3.141592653,3
39.00228797,-76.49976912,433.0590631,0,3.141592653,3
39.00226995,-76.49976912,435.0590631,0,3.141592653,3
